Name,Review,latitude,longitude
ARIA Hotel & Casino,2440,40.408735,-79.8663507
XS Nightclub,2302,40.415517,-80.067534
Hash House A Go Go,2110,40.394588,-80.0844539
Planet Hollywood Las Vegas Resort & Casino,1714,40.4054039,-80.0762665
InterContinental Alliance Resorts THE PALAZZO,1507,40.406324,-80.090357
Vdara Hotel,1469,40.3877323,-80.0928745
Studio B,1428,40.3877323,-80.0928745
Cirque du Soleil - The Beatles LOVE,1397,40.4596217,-79.9256028
SUSHISAMBA - Las Vegas,1264,35.0634003,-80.7736499
Encore,1211,33.3779444,-112.1713758
Hot N Juicy Crawfish,1142,45.5028394,-73.5756267
The Buffet at ARIA,1125,45.499249,-73.5788776
Trump Hotel,1086,35.37211379,-80.78296077
LAVO Italian Restaurant & Lounge,1085,55.95080815,-3.189944
Mr. Mama's,1065,55.9517486,-3.2022915
Joe's Seafood Prime Steak & Stone Crab,1023,55.9528835,-3.2041779
Julian Serrano,990,55.9571631,-3.1872526
Charlotte Douglas International Airport,983,55.9459739,-3.1863132
MIX,933,40.13666726,-88.2399582
Gallo Blanco,924,55.9800341,-3.1739711
The Mission,908,55.929264,-3.2098627
BLT Burger,908,55.9533297,-3.1998836
Texas de Brazil,885,55.9614287,-3.1803234
