Name,Review,latitude,longitude
ARIA Hotel & Casino,2440,40.408735,-79.8663507
XS Nightclub,2302,36.0216397,-115.2776613
Hash House A Go Go,2110,45.5295441,-73.5777915
Planet Hollywood Las Vegas Resort & Casino,1714,43.107246,-89.331186
InterContinental Alliance Resorts THE PALAZZO,1507,40.1122506,-88.2080393
Vdara Hotel,1469,36.013921,-114.99288
Studio B,1428,35.99463,-115.11897
Cirque du Soleil - The Beatles LOVE,1397,40.4409284,-79.9586327
SUSHISAMBA - Las Vegas,1264,40.3967441,-80.0847998
Encore,1211,40.404638,-80.089985
Hot N Juicy Crawfish,1142,40.417419,-80.088557
The Buffet at ARIA,1125,43.0967134,-89.5116395
Trump Hotel,1086,33.24282,-111.8413001
LAVO Italian Restaurant & Lounge,1085,33.364582,-111.87939
Mr. Mama's,1065,33.3634762,-111.9112224
Joe's Seafood Prime Steak & Stone Crab,1023,33.6399809,-112.1205665
Julian Serrano,990,33.42428,-112.271355
Charlotte Douglas International Airport,983,40.391255,-80.073426
MIX,933,40.394305,-80.060154
Gallo Blanco,924,40.4082572,-80.0854582
The Mission,908,40.47045734,-80.08895874
BLT Burger,908,40.412086,-79.910032
Texas de Brazil,885,40.407091,-79.9123428
